n_estimators,max_depth,test_size,variance_prediction,MAE
100,6,0.9,1.0509058939240177,0.05230102194687144
100,8,0.1,1.127930554891,0.029970158384137257
100,8,0.2,1.085661675926961,0.031198634876976904
100,8,0.5,1.0167038992076582,0.02996276292934922
100,8,0.8,0.9827219551407413,0.03725611674146186
100,8,0.9,1.0465190087895548,0.04948697867893889
100,10,0.1,1.1232018104167425,0.030956260325760987
100,10,0.2,1.0923150147059222,0.033579891270703405
100,10,0.5,1.017258258069717,0.03216647788815126
100,10,0.8,0.980608474186559,0.038141892425689106
100,10,0.9,1.0437002014283374,0.05078475446263513
200,1,0.1,1.1241728419661492,0.03597620139126747
200,1,0.2,1.0876678520557597,0.03787607914403328
200,1,0.5,1.0120698423152121,0.0334352669563789
200,1,0.8,0.9822080563310968,0.03753965245414891
200,1,0.9,1.0243987138535329,0.049612471057897574
200,2,0.1,1.1289912515612108,0.033666706205382174
200,2,0.2,1.0865841270933287,0.033014871032416244
200,2,0.5,1.0102005541421726,0.03038360105321599
200,2,0.8,0.9802431933984039,0.03547107423390818
200,2,0.9,1.0366311810136049,0.04395353965334318
200,4,0.1,1.1234372075617491,0.03136822447185772
200,4,0.2,1.0832842376218377,0.03136202640002228
200,4,0.5,1.011242609643664,0.028666717770064618
200,4,0.8,0.976502668042214,0.03157566405224671
200,4,0.9,1.0270923227958295,0.04373999331925251
200,6,0.1,1.1261391024312215,0.03105631382537773
200,6,0.2,1.085673163715374,0.030195316341064017
200,6,0.5,1.0128520411490622,0.028893434891986446
200,6,0.8,0.9822248004191162,0.03368409802565255
200,6,0.9,1.0509608316396164,0.05230531951553576
200,8,0.1,1.1279859800129077,0.02996325130791042
200,8,0.2,1.0857152522091702,0.031194549578221625
200,8,0.5,1.016758155197845,0.029964327817595813
200,8,0.8,0.9827741365547282,0.037256630651112246
200,8,0.9,1.0465745815120624,0.049491965219452004
200,10,0.1,1.1232612066591412,0.03095243369159436
200,10,0.2,1.0923728153046972,0.03357775480179316
200,10,0.5,1.0173123769227082,0.032167682498482356
200,10,0.8,0.980660617437405,0.038143102769139424
200,10,0.9,1.0437556436066229,0.05078907779437498
300,1,0.1,1.1254979083119743,0.03580597270064872
300,1,0.2,1.088359557656673,0.0378730953947478
300,1,0.5,1.0133977222997752,0.03367183955287257
300,1,0.8,0.9832938360342465,0.03769780503405715
300,1,0.9,1.0261247959716366,0.05001179497992129
300,2,0.1,1.129480391555088,0.03389758704444602
300,2,0.2,1.0872765609845125,0.03331178538416105
300,2,0.5,1.010929433723236,0.030611523423800288
300,2,0.8,0.9804088740886838,0.03563931170953774
300,2,0.9,1.0369704228785084,0.044011371094247465
300,4,0.1,1.123316089708973,0.03146995887063
300,4,0.2,1.0832145311745367,0.03148930664885294
300,4,0.5,1.0114838424275368,0.02878916063933632
300,4,0.8,0.9765416186951678,0.03156888418024564
300,4,0.9,1.0270923775929512,0.0437398899871271
300,6,0.1,1.1261369568835713,0.03108997989892025
300,6,0.2,1.0856256311349797,0.030200819603717524
300,6,0.5,1.0128575390967218,0.028892890760614885
300,6,0.8,0.9822248138588539,0.03368409309834081
300,6,0.9,1.0509608316396164,0.05230531951553576
300,8,0.1,1.12798755218902,0.029962243111454033
300,8,0.2,1.0857154414277967,0.031194532637443782
300,8,0.5,1.0167581662734955,0.02996433369003206
300,8,0.8,0.9827741365547282,0.037256630651112246
300,8,0.9,1.0465745815120624,0.049491965219452004
300,10,0.1,1.123261207865405,0.030952433860529593
300,10,0.2,1.0923728163335347,0.03357775480112047
300,10,0.5,1.0173123769227082,0.032167682498482356
300,10,0.8,0.980660617437405,0.038143102769139424
300,10,0.9,1.0437556436066229,0.05078907779437498
