num_layers,test_size,sparsity,mean_prediction,variance_prediction,mae,smape
8,0.9,0.5,106.11177,5.820766e-11,46.517113,43.20824444293976
8,0.9,0.9,105.11097,2.3283064e-10,46.37921,43.09282600879669
10,0.1,0.0,107.92302,5.820766e-11,49.800648,44.37495470046997
10,0.1,0.25,108.84862,0.0,49.892956,44.44781541824341
10,0.1,0.5,107.838486,5.820766e-11,49.793797,44.36965584754944
10,0.1,0.9,108.00759,5.820766e-11,49.807507,44.38024461269379
10,0.2,0.0,107.34587,0.0,49.197994,43.843260407447815
10,0.2,0.25,106.04814,5.820766e-11,49.182568,43.841367959976196
10,0.2,0.5,106.78747,0.0,49.18606,43.83785128593445
10,0.2,0.9,107.01624,5.820766e-11,49.18999,43.839237093925476
10,0.5,0.0,109.54772,0.0,47.319775,44.13708746433258
10,0.5,0.25,108.96932,5.820766e-11,47.172867,44.01537775993347
10,0.5,0.5,116.37215,0.0,49.362823,45.75870335102081
10,0.5,0.9,108.31518,5.820766e-11,47.01194,43.881067633628845
10,0.8,0.0,115.40477,5.820766e-11,48.127422,44.947999715805054
10,0.8,0.25,130.4608,2.3283064e-10,53.58894,48.79009127616882
10,0.8,0.5,112.22258,5.820766e-11,47.145863,44.178420305252075
10,0.8,0.9,136.75557,0.0,56.23168,50.45408606529236
10,0.9,0.0,82.77123,0.0,46.707695,43.37923526763916
10,0.9,0.25,106.5846,0.0,46.591896,43.27085614204407
10,0.9,0.5,107.88637,5.820766e-11,46.822323,43.4626579284668
10,0.9,0.9,107.77918,5.820766e-11,46.801403,43.44525635242462
