n_estimators,max_depth,test_size,MAE,Variance
200,4,0.9,357.68620107743163,9690990.152939608
200,6,0.1,101.15511745621495,151904.06524275817
200,6,0.2,71.53846359781785,84199.38308346753
200,6,0.5,153.04540741804905,2485981.1603767853
200,6,0.8,349.0019588234034,10822434.27696536
200,6,0.9,358.85754520495675,9786160.997627957
200,8,0.1,81.7242897509685,120292.55863973142
200,8,0.2,63.111052747004926,79786.69268170666
200,8,0.5,179.3721797324625,2968925.5828044787
200,8,0.8,356.91789749556386,10924254.483265817
200,8,0.9,372.42581432804565,9843132.979031615
200,10,0.1,92.66456609769243,134163.8060162882
200,10,0.2,56.47228308163264,64270.324211340805
200,10,0.5,163.79518786150754,2530307.8787406045
200,10,0.8,359.42480221246035,11066795.402523233
200,10,0.9,355.19638914698544,9492580.564200852
300,1,0.1,101.53202885995869,123868.05653950863
300,1,0.2,85.45301947444035,98914.36011541572
300,1,0.5,97.03116953056423,300599.3030308926
300,1,0.8,343.70022207742295,10622870.198487574
300,1,0.9,376.32214174116325,9781384.816188198
300,2,0.1,164.7967337042014,285785.76025693153
300,2,0.2,110.49706054387632,132440.34073719353
300,2,0.5,145.75014233595002,2393930.7769496012
300,2,0.8,341.20945239302944,10682607.092534302
300,2,0.9,353.58167428878465,9967225.159768213
300,4,0.1,109.89937075919386,155806.60447720255
300,4,0.2,76.9757836978155,93625.46505565409
300,4,0.5,145.45084542264806,2444634.700708755
300,4,0.8,347.3455805271166,10758062.032537635
300,4,0.9,357.68602574378446,9690984.513196846
300,6,0.1,101.14118638024264,151896.8890202602
300,6,0.2,71.51896326257906,84189.93171340157
300,6,0.5,153.04611921006568,2486027.8946553795
300,6,0.8,349.0018439231342,10822431.495991584
300,6,0.9,358.85754490034174,9786160.992482824
300,8,0.1,81.72142093594147,120290.9614723208
300,8,0.2,63.10941924793669,79786.20771423087
300,8,0.5,179.37246031660794,2968929.1986410394
300,8,0.8,356.9178973298767,10924254.477619652
300,8,0.9,372.42581407131587,9843132.973853659
300,10,0.1,92.66456775101662,134163.78882160026
300,10,0.2,56.47227610504704,64270.303479418995
300,10,0.5,163.79518739834583,2530307.882084801
300,10,0.8,359.42480205720335,11066795.396786775
300,10,0.9,355.1963889021578,9492580.559162335
500,1,0.1,100.75976506681357,123055.57633789864
500,1,0.2,84.75431008310127,98742.9630326608
500,1,0.5,96.63767540335982,300962.8008017143
500,1,0.8,343.51379268250037,10621800.931342581
500,1,0.9,376.0684368389613,9780395.130355915
500,2,0.1,165.03430638727065,286379.7293794149
500,2,0.2,110.39707619591525,132885.23379089907
500,2,0.5,145.8546027325188,2394969.313331915
500,2,0.8,341.1788756902908,10681637.973634157
500,2,0.9,353.56276853720067,9967127.257896097
500,4,0.1,109.90453754323255,155871.18620007767
500,4,0.2,77.02479552346357,93583.14535057683
500,4,0.5,145.43790852801177,2444879.180654825
500,4,0.8,347.3493550741568,10758044.273719076
500,4,0.9,357.6859716928335,9690983.601727882
500,6,0.1,101.13238876282531,151893.6121516426
500,6,0.2,71.5070437434244,84191.67378077483
500,6,0.5,153.04527711695874,2486041.70666452
500,6,0.8,349.0018197841101,10822431.049295127
500,6,0.9,358.85754490034174,9786160.992482824
500,8,0.1,81.71813834295313,120290.90371327619
